,recv_c_dttm,create_dttm,resolve_dttm,user_resolve_dttm,forced_resolve_dttm,forced_username,recv_r_dttm,region,eid,ne_id,dn,dn_invt,mon_nm,step1,step2,step3,step4,obj,cause,grade,rect_type,rect_type.1,alert_type,alert_id,Y
8455,2021-02-05 01:25:27.558,2021-02-05 01:24:40.000,2021-02-05 01:24:40.000,,,,2021-02-05 01:25:27.558,sj,,1746.0,sj/c/cgni01/c/rack01/23/bm/nov016,sj/c/cgni01/c/rack01/23/bm/nov016,sojgcc01nov016,server,ipmi,sel,dell.ipmi.sel.14,,hw-fault,warning,drive 3 is installed in disk drive bay 1.,ipmi_api,status,,1

8566,2021-02-06 16:35:05.618,2021-02-06 07:23:29.000,,,2021-02-08 09:46:28.000,,2021-02-08 09:46:28.000,hh,,832.0,hh/e/cgni01/c/rack06/12/bm/nova0603,hh/e/cgni01/c/rack06/12/bm/nova0603,hhec01nova0603,server,ipmi,sel,hp.ipmi.sel.28,,hw-fault,critical,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to link failure for adapter in slot 6, port 1",ipmi_api,status,,1

8596,2021-02-07 01:10:05.588,2021-02-06 15:59:47.000,2021-02-06 15:59:47.000,,,,2021-02-07 01:10:05.588,hh,,832.0,hh/e/cgni01/c/rack06/12/bm/nova0603,hh/e/cgni01/c/rack06/12/bm/nova0603,hhec01nova0603,server,ipmi,sel,hp.ipmi.sel.29,,hw-fault,warning,"hpe eth 10gb 4p 563sfp+ adptr connectivity status changed to ok for adapter in slot 6, port 1",ipmi_api,status,,0

8623,2021-02-07 04:05:05.228,2021-02-07 04:05:04.000,2021-02-07 04:05:04.000,,,,2021-02-07 04:05:05.228,hh,,1826.0,hh/e/cgni01/c/rack19/06/bm/nov191,hh/e/cgni01/c/rack19/06/bm/nov191,hehaec01nov191,server,ipmi,sel,dell.ipmi.sel.5,,hw-fault,warning,the process of installing an operating system or hypervisor is successfully completed.,ipmi_api,status,,0

8705,2021-02-07 23:45:03.123,2021-02-07 23:45:02.000,2021-02-07 23:45:02.000,,,,2021-02-07 23:45:03.123,sb,,1008.0,sb/e/cgni01/c/rack04/15/bm/nov044,sb/e/cgni01/c/rack04/15/bm/nov044,sebsec01nov044,server,ipmi,sel,dell.ipmi.sel.9,,hw-fault,warning,the chassis is closed while the power is off.,ipmi_api,status,,1

8918,2021-02-10 21:05:12.834,2021-02-10 21:05:12.834,2021-02-10 21:10:05.104,,,,2021-02-10 21:10:05.104,dn,,2499.0,dn/e/cgni01/c/rack01/03/bm/nov010,dn/e/cgni01/c/rack01/03/bm/nov010,doneec01nov010,server,ipmi,auth,dell.ipmi.auth,,invalid-auth,minor,"invalid ipmi account, id=admin, pw=sa******",ipmi_api,status,,0

8996,2021-02-12 02:45:02.960,2021-02-12 02:45:02.000,2021-02-12 02:45:02.000,,,,2021-02-12 02:45:02.960,wj,,742.0,wj/e/cgni01/c/rack01/06/bm/nov011,wj/e/cgni01/c/rack01/06/bm/nov011,wnjuec01nov011,server,ipmi,sel,dell.ipmi.sel.11,,hw-fault,warning,the system board ps1 pg voltage is within range.,ipmi_api,status,,0

9227,2021-02-15 20:45:43.509,2021-02-15 20:45:43.509,,,2021-02-16 08:55:36.000,,2021-02-16 08:55:36.000,jj,,1590.0,jj/e/cgni01/c/rack02/07/bm/nov021,jj/e/cgni01/c/rack02/07/bm/nov021,jejuec01nov021,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

9399,2021-02-17 01:55:05.926,2021-02-17 01:55:05.926,2021-02-17 02:00:29.107,,,,2021-02-17 02:00:29.107,dj,,495.0,dj/c/cgni02/c/rack04/06/bm/nova0401,dj/c/cgni02/c/rack04/06/bm/nova0401,djcc02nova0401,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

9400,2021-02-17 01:55:07.710,2021-02-17 01:55:07.710,2021-02-17 02:00:26.453,,,,2021-02-17 02:00:26.453,dj,,478.0,dj/c/cgni02/c/rack02/12/bm/nova0203,dj/c/cgni02/c/rack02/12/bm/nova0203,djcc02nova0203,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

9401,2021-02-17 01:55:08.736,2021-02-17 01:55:08.736,2021-02-17 02:00:26.417,,,,2021-02-17 02:00:26.417,dj,,494.0,dj/c/cgni02/c/rack04/03/bm/nova0400,dj/c/cgni02/c/rack04/03/bm/nova0400,djcc02nova0400,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

9402,2021-02-17 01:55:35.848,2021-02-17 01:55:35.848,2021-02-17 02:00:27.275,,,,2021-02-17 02:00:27.275,dj,,476.0,dj/c/cgni02/c/rack02/06/bm/nova0201,dj/c/cgni02/c/rack02/06/bm/nova0201,djcc02nova0201,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

9403,2021-02-17 02:15:02.852,2021-02-17 02:15:02.852,2021-02-17 02:20:03.650,,,,2021-02-17 02:20:03.650,gr,,1920.0,gr/c/cgni01/c/rack07/28/bm/nov078,gr/c/cgni01/c/rack07/28/bm/nov078,gurocc01nov078,server,ipmi,conn,dell.ipmi.conn,,conn-fail,major,api connection fail,ipmi_api,status,,1

9459,2021-02-19 00:15:05.276,2021-02-18 15:10:25.000,2021-02-18 15:10:25.000,,,,2021-02-19 00:15:05.276,gr,,2778.0,gr/e/cgni01/c/rack15/12/bm/nov153,gr/e/cgni01/c/rack15/12/bm/nov153,guroec01nov153,server,ipmi,sel,hp.ipmi.sel.30,,hw-fault,warning,"hpe ethernet 1gb 4-port 331i adapter - nic connectivity status changed to ok for adapter in slot 0, port 2",ipmi_api,status,,0

9460,2021-02-19 00:15:05.290,2021-02-18 15:10:25.000,2021-02-18 15:10:25.000,,,,2021-02-19 00:15:05.290,gr,,2778.0,gr/e/cgni01/c/rack15/12/bm/nov153,gr/e/cgni01/c/rack15/12/bm/nov153,guroec01nov153,server,ipmi,sel,hp.ipmi.sel.31,,hw-fault,warning,"hpe ethernet 1gb 4-port 331i adapter - nic connectivity status changed to ok for adapter in slot 0, port 3",ipmi_api,status,,0

9461,2021-02-19 00:15:05.306,2021-02-18 15:10:25.000,2021-02-18 15:10:25.000,,,,2021-02-19 00:15:05.306,gr,,2778.0,gr/e/cgni01/c/rack15/12/bm/nov153,gr/e/cgni01/c/rack15/12/bm/nov153,guroec01nov153,server,ipmi,sel,hp.ipmi.sel.32,,hw-fault,warning,"hpe ethernet 1gb 4-port 331i adapter - nic connectivity status changed to ok for adapter in slot 0, port 4",ipmi_api,status,,0

